term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
weblieder,,weblieder,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
wedangi,,wedangi,,Słownik Terminów Literackich (Głowiński),,
wedy,,wedy,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
weltschmerz,,weltschmerz,,"Słownik Terminów Literackich (Głowiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
werbalizm,,werbalizm,,Słownik terminów literackich (Sierotwiński),,
wers,,wers,,Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
wers adoniczny,,wers adoniczny,,Słownik terminów literackich (Sierotwiński),,
wers alcejski,,wers alcejski,,Słownik terminów literackich (Sierotwiński),,
wers alkaliczny,,wers alkaliczny,,Słownik terminów literackich (Sierotwiński),,
wers ambiwalentny,,wers ambiwalentny,,Słownik terminów literackich (Sierotwiński),,
wers arystofanejski,,wers arystofanejski,,Słownik terminów literackich (Sierotwiński),,
wers asklepiadejski mniejszy,,wers asklepiadejski mniejszy,,Słownik terminów literackich (Sierotwiński),,
wers asklepiadejski większy,,wers asklepiadejski duży,,Słownik terminów literackich (Sierotwiński),,
wers dialogowy,,wers dialogowy,,Słownik terminów literackich (Sierotwiński),,
wers jambiczny,,wers jambiczny,,Słownik terminów literackich (Sierotwiński),,
wers jednomiarowy,,wers jednomiarowy,,Słownik terminów literackich (Sierotwiński),,
wers logaedyczny,,wers Logaedyczny,,Słownik terminów literackich (Sierotwiński),,
wers miarowy,,wers miarowy,,Słownik terminów literackich (Sierotwiński),,
wers miarowy przekładany,,wers miarowy przekładać,,Słownik terminów literackich (Sierotwiński),,
wers ropaliczny,,wers ropaliczny,,Słownik terminów literackich (Sierotwiński),,
wers różnomiarowy,,wers różnomiarowy,,Słownik terminów literackich (Sierotwiński),,
wers saficki mniejszy,,wers saficki mny,,Słownik terminów literackich (Sierotwiński),,
wers saficki większy,,wers saficki duży,,Słownik terminów literackich (Sierotwiński),,
wers saturnijski,,wers saturnijski,,Słownik terminów literackich (Sierotwiński),,
wers spondeiczny,,wers spondeiczny,,Słownik terminów literackich (Sierotwiński),,
wers trocheiczny,,wers trocheiczny,,Słownik terminów literackich (Sierotwiński),,
wers zwykły,,wers zwykły,,Słownik terminów literackich (Sierotwiński),,
wersalik,,wersalik,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
wersalki,,wersalka,,Słownik terminów literackich (Sierotwiński),,
werset,,werset,,"Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
wersja interlinearna,,wersja interlinearny,,Słownik terminów literackich (Sierotwiński),,
wersja sceniczna,,wersja sceniczny,,Słownik terminów teatralnych (Patrice Pavis),,
wersologia,,wersologia,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
wersyfikacja,,wersyfikacja,,Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810668907405606,http://www.wikidata.org/entity/Q1930620
wersyfkacja,błąd,wersyfkacja,,Słownik terminów literackich (Sierotwiński),,
werteryzm,,werteryzm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918",,
wertykalna organizacja dzieła,,wertykalny organizacja dzieło,,Słownik Terminów Literackich (Głowiński),,
weryzm,,weryzm,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik wiedzy o teatrze | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
western,,western,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik nowych gatunków i zjawisk literackich | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810538379705606,http://www.wikidata.org/entity/Q172980
wezwanie,,wezwać,,Słownik terminów literackich (Sierotwiński),,
węzeł dramatyczny,,węzeł dramatyczny,,Słownik terminów literackich (Sierotwiński) | Słownik terminów teatralnych (Patrice Pavis),,
węzeł intonacyjny,,węzeł intonacyjny,,Słownik terminów literackich (Sierotwiński),,
węzłowe punkty wersów,,węzłowy punkt wers,,Słownik terminów literackich (Sierotwiński),,
who is who,,who is who,,Słownik Terminów Literackich (Głowiński),,
who’s who,,who ’ s who,,Słownik Terminów Literackich (Głowiński),,
wiązanie,,wiązać,,Słownik terminów literackich (Sierotwiński),,
wiązuje do,??,wiązować do,,Słownik pojęć i tekstów kultury,,
widmo,,widmo,,Słownik terminów teatralnych (Patrice Pavis),,
widowisko,,widowisko,,Słownik terminów teatralnych (Patrice Pavis),,
widowisko teatralne,,widowisko teatralny,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury,,
widowiskowy,,widowiskowy,,Słownik terminów teatralnych (Patrice Pavis),,
widownia,,widownia,,Słownik pojęć i tekstów kultury,,
widz,,widz,,Słownik terminów teatralnych (Patrice Pavis),,
wiech,,wiech,,Słownik Terminów Literackich (Głowiński),,
wiedza,,wiedza,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
wiedza o literaturze,,wiedza o literatura,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
wielka metafora,,wielki metafora,,Słownik Terminów Literackich (Głowiński),,
wielki plan,,wielki plan,,Słownik pojęć i tekstów kultury,,
wielkie formy w sztuce,,wielki forma w sztuka,,Słownik terminów literackich (Sierotwiński),,
wielkie zbliżenie,,wielki zbliżenie,,Słownik pojęć i tekstów kultury,,
wielostopowiec,,wielostopowiec,,Słownik terminów literackich (Sierotwiński),,
wielostopowiec obcięty,,wielostopowiec obcięty,,Słownik terminów literackich (Sierotwiński),,
wielostopowiec przedłużony,,wielostopowiec przedłużyć,,Słownik terminów literackich (Sierotwiński),,
wielowers,,wielowers,,Słownik terminów literackich (Sierotwiński),,
wielozgłoskowiec,,wielozgłoskowiec,,Słownik terminów literackich (Sierotwiński),,
wieloznaczność,,wieloznaczność,,"Słownik pojęć i tekstów kultury | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis)",,
wieniec sonetów,,wieniec sonet,,Słownik Terminów Literackich (Głowiński),,
wiersz,,wiersz,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Od aforyzmu do zinu. Gatunki twórczości słownej | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810647742205606,http://www.wikidata.org/entity/Q25415660
wiersz abecadłowy,,wiersz abecadłowy,,Słownik terminów literackich (Sierotwiński),,
wiersz abecadtowy,,wiersz abecadtowy,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
wiersz akromonogramatyczny,,wiersz akromonogramatyczny,,Słownik terminów literackich (Sierotwiński),,
wiersz amfibrachiczny,,wiersz amfibrachiczn,,Słownik terminów literackich (Sierotwiński),,
wiersz anacykliczny,,wiersz anacykliczny,,Słownik terminów literackich (Sierotwiński),,
wiersz anapestyczny,,wiersz anapestyczny,,Słownik terminów literackich (Sierotwiński),,
wiersz antysktadniowy,,wiersz antysktadniowy,,Słownik pojęć i tekstów kultury,,
wiersz ariostyczny,,wiersz ariostyczny,,Słownik terminów literackich (Sierotwiński),,
wiersz askładniowy,,wiersz askładniowy,,Słownik terminów literackich (Sierotwiński),,
wiersz asylabiczny,,wiersz asylabiczny,,Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz atoniczny,,wiersz atoniczny,,Słownik terminów literackich (Sierotwiński),,
wiersz awangardowy,,wiersz awangardowy,,Słownik terminów literackich (Sierotwiński),,
wiersz bezrozmiarowy,,wiersz bezrozmiarowy,,Słownik terminów literackich (Sierotwiński),,
wiersz bezrymowy,,wiersz bezrymowy,,Słownik terminów literackich (Sierotwiński),,
wiersz biały,,wiersz biały,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje",,
wiersz ciągły,,wiersz ciągły,,Słownik terminów literackich (Sierotwiński),,
wiersz echowy,,wiersz echowy,,Słownik terminów literackich (Sierotwiński),,
wiersz elegijny,,wiersz elegijny,,Słownik terminów literackich (Sierotwiński),,
wiersz emocyjny,,wiersz emocyjny,,Słownik terminów literackich (Sierotwiński),,
wiersz epigramatyczny,,wiersz Epigramatyczny,,Słownik terminów literackich (Sierotwiński),,
wiersz hejnałowy,,wiersz hejnałowy,,Słownik terminów literackich (Sierotwiński),,
wiersz heterosylabiczny,,wiersz heterosylabiczny,,Słownik terminów literackich (Sierotwiński),,
wiersz izometryczny,,wiersz izometryczny,,Słownik terminów literackich (Sierotwiński),,
wiersz izosylabiczny,,wiersz izosylabiczny,,Słownik terminów literackich (Sierotwiński),,
wiersz jambiczny,,wiersz jambiczny,,Słownik terminów literackich (Sierotwiński),,
wiersz jednorymowy,,wiersz jednorymowy,,Słownik terminów literackich (Sierotwiński),,
wiersz karmelkowy,,wiersz karmelkowy,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
wiersz korelatywny,,wiersz korelatywny,,Słownik terminów literackich (Sierotwiński),,
wiersz kwadratowy,,wiersz kwadratowy,,Słownik terminów literackich (Sierotwiński),,
wiersz leoniński,,wiersz leoniński,,Słownik terminów literackich (Sierotwiński),,
wiersz łańcuchowy,,wiersz łańcuchowy,,Słownik terminów literackich (Sierotwiński),,
wiersz miarowy,,wiersz miarowy,,Słownik terminów literackich (Sierotwiński),,
wiersz mieszany,,wiersz mieszać,,Słownik terminów literackich (Sierotwiński),,
wiersz mnemoniczny,,wiersz mnemoniczny,,Słownik terminów literackich (Sierotwiński),,
wiersz mnemotechniczny,,wiersz mnemotechniczny,,Słownik terminów literackich (Sierotwiński),,
wiersz modernistyczny,,wiersz modernistyczny,,Słownik terminów literackich (Sierotwiński),,
wiersz nieliczny,,wiersz nieliczny,,Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz nienumeryczny,,wiersz nienumeryczny,,Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz nieregularny,,wiersz nieregularny,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz nieregularny sylabiczny,,wiersz nieregularny sylabiczny,,Słownik terminów literackich (Sierotwiński),,
wiersz nieregularny sylabotoniczny,,wiersz nieregularny sylabotoniczny,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
wiersz nieregularny toniczny,,wiersz nieregularny toniczny,,Słownik terminów literackich (Sierotwiński),,
wiersz norwidowski,,wiersz norwidowski,,Słownik terminów literackich (Sierotwiński),,
wiersz numeryczny,,wiersz numeryczny,,Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz obrazkowy,,wiersz obrazkowy,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
wiersz peoniczny,,wiersz peoniczny,,Słownik terminów literackich (Sierotwiński),,
wiersz poawangardowy,,wiersz poawangardowy,,Słownik terminów literackich (Sierotwiński),,
wiersz poromantyczny,,wiersz poromantyczny,,Słownik terminów literackich (Sierotwiński),,
wiersz proteiczny,,wiersz proteiczny,,Słownik terminów literackich (Sierotwiński),,
wiersz przeplatany,,wiersz przeplatać,,Słownik terminów literackich (Sierotwiński),,
wiersz przestawiany,,wiersz przestawiać,,Słownik terminów literackich (Sierotwiński),,
wiersz przyciskowy,,wiersz przyciskowy,,Słownik terminów literackich (Sierotwiński),,
wiersz ropaliczny,,wiersz ropaliczny,,Słownik Terminów Literackich (Głowiński),,
wiersz równoległy,,wiersz równoległy,,Słownik terminów literackich (Sierotwiński),,
wiersz rytmiczny,,wiersz rytmiczny,,Słownik terminów literackich (Sierotwiński),,
wiersz schodkowy,,wiersz schodkowy,,Słownik terminów literackich (Sierotwiński),,
wiersz skcadniowo-intonacyjny,,wiersz skcadniowy - Intonacyjny,,Słownik terminów literackich (Sierotwiński),,
wiersz skupieniowy,,wiersz skupieniowy,,Słownik terminów literackich (Sierotwiński),,
wiersz stroficzny,,wiersz stroficzny,,Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz stychiczny,,wiersz stychiczny,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
wiersz sylabiczny,,wiersz sylabiczny,,"Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
wiersz sylabiczny nieregularny,,wiersz sylabiczny nieregularny,,Słownik literatury polskiej | Słownik pojęć i tekstów kultury,,
wiersz sylabotoniczny,,wiersz sylabotoniczny,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej,,
wiersz syłabiczny,,wiersz syłabiczn,,Słownik terminów literackich (Sierotwiński),,
wiersz symboliczny,,wiersz symboliczny,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
wiersz syntagmatyczny,,wiersz syntagmatyczny,,Słownik pojęć i tekstów kultury,,
